,id,item_group_id,mpn,title,description,image_link,link,gender,age_group,brand,availability,price,product_type,google_product_category
54,23697158,1,1,Proenza Schouler - Naomi crochet-stripe-knit maxi dress,Naomi crochet-stripe-knit maxi dress,https://cdn-images.farfetch-contents.com/23/69/71/58/23697158_53646123_480.jpg,https://www.farfetch.com/ca/shopping/women/proenza-schouler-naomi-crochet-stripe-knit-maxi-dress-item-23697158.aspx?storeid=10621,female,adult,Proenza Schouler,in_stock,2989.00 USD,Women Home &gt; Proenza Schouler &gt; Clothing &gt; Evening Dresses,2271
55,22980710,1,1,ISABEL MARANT - Kapri sleeveless dress,Kapri sleeveless dress,https://cdn-images.farfetch-contents.com/22/98/07/10/22980710_53136194_480.jpg,https://www.farfetch.com/ca/shopping/women/isabel-marant-kapri-sleeveless-dress-item-22980710.aspx?storeid=9446,female,adult,ISABEL MARANT,in_stock,2065.00 USD,Women Home &gt; ISABEL MARANT &gt; Clothing &gt; Evening Dresses,2271
56,22829851,1,1,Prada - embroidered georgette dress,embroidered georgette dress,https://cdn-images.farfetch-contents.com/22/82/98/51/22829851_52878463_480.jpg,https://www.farfetch.com/ca/shopping/women/prada-embroidered-georgette-dress-item-22829851.aspx?storeid=12139,female,adult,Prada,in_stock,19800.00 USD,Women Home &gt; Prada &gt; Clothing &gt; Day Dresses,2271
57,22615282,1,1,La DoubleJ - Buy Me A Martini floral-print dress,Buy Me A Martini floral-print dress,https://cdn-images.farfetch-contents.com/22/61/52/82/22615282_52661380_480.jpg,https://www.farfetch.com/ca/shopping/women/la-doublej-buy-me-a-martini-floral-print-dress-item-22615282.aspx?storeid=10929,female,adult,La DoubleJ,in_stock,1450.00 USD,Women Home &gt; La DoubleJ &gt; Clothing &gt; Day Dresses,2271
58,23243836,1,1,Saint Laurent - strapless wool-blend minidress,strapless wool-blend minidress,https://cdn-images.farfetch-contents.com/23/24/38/36/23243836_53381775_480.jpg,https://www.farfetch.com/ca/shopping/women/saint-laurent-strapless-wool-blend-minidress-item-23243836.aspx?storeid=9589,female,adult,Saint Laurent,in_stock,4060.00 USD,Women Home &gt; Saint Laurent &gt; Clothing &gt; Cocktail & Party Dresses,2271
59,22966996,1,1,Alexander McQueen - Shadow Rose-print satin dress,Shadow Rose-print satin dress,https://cdn-images.farfetch-contents.com/22/96/69/96/22966996_53146083_480.jpg,https://www.farfetch.com/ca/shopping/women/alexander-mcqueen-shadow-rose-print-satin-dress-item-22966996.aspx?storeid=10207,female,adult,Alexander McQueen,in_stock,3297.00 USD,Women Home &gt; Alexander McQueen &gt; Clothing &gt; Evening Dresses,2271
60,23492914,1,1,KHAITE - The Zelma midi dress,The Zelma midi dress,https://cdn-images.farfetch-contents.com/23/49/29/14/23492914_53529165_480.jpg,https://www.farfetch.com/ca/shopping/women/khaite-the-zelma-midi-dress-item-23492914.aspx?storeid=9628,female,adult,KHAITE,in_stock,3760.00 USD,Women Home &gt; KHAITE &gt; Clothing &gt; Day Dresses,2271
61,20851290,1,1,Oséree - Twist sheer maxi dress,Twist sheer maxi dress,https://cdn-images.farfetch-contents.com/20/85/12/90/20851290_52155117_480.jpg,https://www.farfetch.com/ca/shopping/women/oseree-twist-sheer-maxi-dress-item-20851290.aspx?storeid=13537,female,adult,Oséree,in_stock,370.00 USD,Women Home &gt; Oséree &gt; Clothing &gt; Evening Dresses,2271
62,22555420,1,1,Valentino Garavani - feather-embellished patterned midi dress,feather-embellished patterned midi dress,https://cdn-images.farfetch-contents.com/22/55/54/20/22555420_52806151_480.jpg,https://www.farfetch.com/ca/shopping/women/valentino-garavani-feather-embellished-patterned-midi-dress-item-22555420.aspx?storeid=12420,female,adult,Valentino Garavani,in_stock,6500.00 USD,Women Home &gt; Valentino Garavani &gt; Clothing &gt; Day Dresses,2271
63,22534634,1,1,Missoni - sequin-embellished ribbed-knit minidress,sequin-embellished ribbed-knit minidress,https://cdn-images.farfetch-contents.com/22/53/46/34/22534634_52516142_480.jpg,https://www.farfetch.com/ca/shopping/women/missoni-sequin-embellished-ribbed-knit-minidress-item-22534634.aspx?storeid=9053,female,adult,Missoni,in_stock,1932.00 USD,Women Home &gt; Missoni &gt; Clothing &gt; Cocktail & Party Dresses,2271
64,22801771,1,1,Magda Butrym - floral-applique draped minidress,floral-applique draped minidress,https://cdn-images.farfetch-contents.com/22/80/17/71/22801771_53258082_480.jpg,https://www.farfetch.com/ca/shopping/women/magda-butrym-floral-applique-draped-minidress-item-22801771.aspx?storeid=9902,female,adult,Magda Butrym,in_stock,2710.00 USD,Women Home &gt; Magda Butrym &gt; Clothing &gt; Cocktail & Party Dresses,2271
65,22586312,1,1,Ferragamo - gathered jersey dress,gathered jersey dress,https://cdn-images.farfetch-contents.com/22/58/63/12/22586312_52902221_480.jpg,https://www.farfetch.com/ca/shopping/women/ferragamo-gathered-jersey-dress-item-22586312.aspx?storeid=10207,female,adult,Ferragamo,in_stock,2420.00 USD,Women Home &gt; Ferragamo &gt; Clothing &gt; Day Dresses,2271
66,22971337,1,1,Alexander McQueen - sweetheart-neck midi dress,sweetheart-neck midi dress,https://cdn-images.farfetch-contents.com/22/97/13/37/22971337_53033031_480.jpg,https://www.farfetch.com/ca/shopping/women/alexander-mcqueen-sweetheart-neck-midi-dress-item-22971337.aspx?storeid=9274,female,adult,Alexander McQueen,in_stock,3013.00 USD,Women Home &gt; Alexander McQueen &gt; Clothing &gt; Cocktail & Party Dresses,2271
